2024-01-17 22:51:01.750 [main] INFO  b.d.desiderii_backend.DesideriiBackendApplication - Starting DesideriiBackendApplication using Java 17.0.1 with PID 48036 (S:\IDEA\projects\Desiderii_backend\target\classes started by jack li in S:\IDEA\projects\Desiderii_backend)
2024-01-17 22:51:01.752 [main] INFO  b.d.desiderii_backend.DesideriiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-17 22:51:02.361 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-01-17 22:51:02.364 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-01-17 22:51:02.408 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2024-01-17 22:51:02.878 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8090 (http)
2024-01-17 22:51:02.891 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2024-01-17 22:51:02.892 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-17 22:51:02.893 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2024-01-17 22:51:02.949 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-17 22:51:02.950 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1157 ms
2024-01-17 22:51:03.634 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4fe2dd02, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6ba060af, org.springframework.security.web.context.SecurityContextHolderFilter@7d28cdcd, org.springframework.security.web.header.HeaderWriterFilter@278fe428, org.springframework.web.filter.CorsFilter@5817f1ca, org.springframework.security.web.csrf.CsrfFilter@22ca1242, org.springframework.security.web.authentication.logout.LogoutFilter@22686ddb, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@166ce247, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@9e62fb, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2b395581, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@16b64a03, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@406ad6d5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2a7bc16b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@726a8729, org.springframework.security.web.access.ExceptionTranslationFilter@16c5b50a, org.springframework.security.web.access.intercept.AuthorizationFilter@7d64a960]
2024-01-17 22:51:04.188 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2024-01-17 22:51:04.215 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8090 (http) with context path ''
2024-01-17 22:51:04.222 [main] INFO  b.d.desiderii_backend.DesideriiBackendApplication - Started DesideriiBackendApplication in 2.874 seconds (process running for 3.491)
2024-01-17 22:51:04.225 [main] INFO  b.d.desiderii_backend.DesideriiBackendApplication - backend.desiderii 启动...

