2024-01-17 22:49:12.611 [main] INFO  b.d.desiderii_backend.DesideriiBackendApplication - Starting DesideriiBackendApplication using Java 17.0.1 with PID 17252 (S:\IDEA\projects\Desiderii_backend\target\classes started by jack li in S:\IDEA\projects\Desiderii_backend)
2024-01-17 22:49:12.613 [main] INFO  b.d.desiderii_backend.DesideriiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-17 22:49:13.212 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-01-17 22:49:13.214 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-01-17 22:49:13.251 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2024-01-17 22:49:13.730 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8090 (http)
2024-01-17 22:49:13.737 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2024-01-17 22:49:13.739 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-01-17 22:49:13.739 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
2024-01-17 22:49:13.796 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-17 22:49:13.797 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1143 ms
2024-01-17 22:49:14.479 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1584c019, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3688baab, org.springframework.security.web.context.SecurityContextHolderFilter@3b4bd341, org.springframework.security.web.header.HeaderWriterFilter@16c5b50a, org.springframework.web.filter.CorsFilter@4fe2dd02, org.springframework.security.web.csrf.CsrfFilter@6f986501, org.springframework.security.web.authentication.logout.LogoutFilter@63a7781, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7e3ee128, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5486ee92, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6ba060af, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@cd5ff55, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7d28cdcd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@255ed8e4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5817f1ca, org.springframework.security.web.access.ExceptionTranslationFilter@350bbd5d, org.springframework.security.web.access.intercept.AuthorizationFilter@379f9555]
2024-01-17 22:49:15.018 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2024-01-17 22:49:15.040 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8090 (http) with context path ''
2024-01-17 22:49:15.048 [main] INFO  b.d.desiderii_backend.DesideriiBackendApplication - Started DesideriiBackendApplication in 2.849 seconds (process running for 3.509)
2024-01-17 22:49:15.051 [main] INFO  b.d.desiderii_backend.DesideriiBackendApplication - backend.desiderii 启动...

